S(seed=101,n=128) = [15064, 5910, 32669, 3106, 32558, 19074, 11189, 28754, 1357, 7151, 33095, 21702, 24912, 12072, 14823, 29670, 17790, 5651, 30613, 14928, 29545, 30823, 12714, 8487, 22790, 20603, 7029, 3591, 33824, 33434, 22513, 27592, 5663, 25150, 2441, 19737, 30242, 37631, 21305, 14644, 22623, 35660, 24517, 33287, 24372, 24734, 17710, 19690, 28005, 22492, 3414, 12737, 23262, 12095, 25292, 20837, 1695, 32872, 26277, 1502, 32092, 35635, 10255, 11170, 33099, 33822, 12422, 21103, 22562, 6821, 1413, 29327, 24601, 16827, 11368, 33015, 47, 3707, 37147, 33242, 22140, 35062, 38645, 1438, 17711, 33929, 29661, 35079, 19435, 17406, 25104, 22351, 5148, 5630, 28785, 15730, 9601, 3216, 36314, 34309, 18184, 6312, 35740, 4287, 10513, 18732, 15406, 19326, 31932, 112, 24134, 19745, 10836, 17083, 36961, 2143, 21112, 1530, 91, 38630, 28024, 30420, 8319, 34510, 36293, 33190, 32368, 16688]
   [pre] relift round 0: 229 bad atoms, 227 fixed, t=12s
   [pre] relift round 1: 122 bad atoms, 120 fixed, t=18s
   [pre] relift round 2: 87 bad atoms, 85 fixed, t=22s
   [pre] relift round 3: 79 bad atoms, 77 fixed, t=26s
   [pre] relift round 4: 79 bad atoms, 77 fixed, t=32s
   [pre] relift round 5: 80 bad atoms, 78 fixed, t=36s
   [pre] relift round 6: 79 bad atoms, 77 fixed, t=39s
   [pre] relift round 7: 80 bad atoms, 77 fixed, t=43s
   [pre] relift round 8: 80 bad atoms, 78 fixed, t=47s
   [pre] relift round 9: 78 bad atoms, 76 fixed, t=51s
   [pre] relift round 10: 79 bad atoms, 76 fixed, t=54s
   [pre] relift round 11: 80 bad atoms, 78 fixed, t=58s
   [pre] relift round 12: 80 bad atoms, 78 fixed, t=61s
   [pre] relift round 13: 80 bad atoms, 78 fixed, t=63s
   [pre] relift round 14: 79 bad atoms, 77 fixed, t=65s
   [pre] relift round 15: 79 bad atoms, 77 fixed, t=68s
   [pre] relift round 16: 79 bad atoms, 76 fixed, t=70s
   [pre] relift round 17: 79 bad atoms, 77 fixed, t=73s
   [pre] relift round 18: 79 bad atoms, 77 fixed, t=76s
   [pre] relift round 19: 78 bad atoms, 76 fixed, t=79s
   [pre] relift round 20: 79 bad atoms, 77 fixed, t=82s
   [pre] relift round 21: 79 bad atoms, 76 fixed, t=84s
   [pre] relift round 22: 79 bad atoms, 77 fixed, t=87s
   [pre] relift round 23: 77 bad atoms, 75 fixed, t=89s
   [pre] relift round 24: 79 bad atoms, 77 fixed, t=92s
   [pre] relift round 25: 79 bad atoms, 77 fixed, t=95s
   [pre] relift round 26: 78 bad atoms, 75 fixed, t=98s
   [pre] relift round 27: 77 bad atoms, 75 fixed, t=101s
   [pre] relift round 28: 79 bad atoms, 77 fixed, t=104s
   [pre] relift round 29: 77 bad atoms, 75 fixed, t=108s
   [pre] relift round 30: 79 bad atoms, 77 fixed, t=112s
   [pre] relift round 31: 79 bad atoms, 77 fixed, t=116s
   [pre] relift round 32: 78 bad atoms, 76 fixed, t=121s
   [pre] relift round 33: 78 bad atoms, 76 fixed, t=125s
   [pre] relift round 34: 78 bad atoms, 75 fixed, t=130s
   [pre] relift round 35: 78 bad atoms, 76 fixed, t=133s
   [pre] relift round 36: 79 bad atoms, 77 fixed, t=136s
   [pre] relift round 37: 79 bad atoms, 77 fixed, t=140s
   [pre] relift round 38: 79 bad atoms, 75 fixed, t=144s
   [pre] relift round 39: 77 bad atoms, 75 fixed, t=148s
   [pre] relift round 40: 79 bad atoms, 77 fixed, t=152s
   [pre] relift round 41: 79 bad atoms, 77 fixed, t=157s
   [pre] relift round 42: 79 bad atoms, 77 fixed, t=161s
   [pre] relift round 43: 79 bad atoms, 77 fixed, t=165s
   [pre] relift round 44: 79 bad atoms, 77 fixed, t=169s
   [pre] relift round 45: 78 bad atoms, 76 fixed, t=173s
   [pre] relift round 46: 79 bad atoms, 77 fixed, t=177s
   [pre] relift round 47: 79 bad atoms, 77 fixed, t=181s
   [pre] relift round 48: 79 bad atoms, 77 fixed, t=184s
   [pre] relift round 49: 79 bad atoms, 76 fixed, t=187s
   [pre] relift round 50: 79 bad atoms, 77 fixed, t=190s
   [pre] relift round 51: 78 bad atoms, 75 fixed, t=193s
   [pre] relift round 52: 77 bad atoms, 74 fixed, t=197s
   [pre] relift round 53: 79 bad atoms, 77 fixed, t=200s
   [pre] relift round 54: 79 bad atoms, 77 fixed, t=204s
   [pre] relift round 55: 78 bad atoms, 76 fixed, t=208s
   [pre] relift round 56: 77 bad atoms, 74 fixed, t=211s
   [pre] relift round 57: 79 bad atoms, 77 fixed, t=215s
   [pre] relift round 58: 78 bad atoms, 76 fixed, t=219s
   [pre] relift round 59: 78 bad atoms, 75 fixed, t=223s
   [pre] fixpoint done in 222s (60 rounds)
outer 0: global nonzero 81, violated c-conditions 78, nonzero handle-less 3
   single-wire pass over 382 wires (max atoms/wire 2)
     [hb] wire 198/382  nz-guard evals=1107  sg3 calls=198  sg3 time=125s  accepted=36  t=368s
