S(seed=101,n=48) = [15064, 5910, 32669, 3106, 32558, 19074, 11189, 28754, 1357, 7151, 33095, 21702, 24912, 12072, 14823, 29670, 17790, 5651, 30613, 14928, 29545, 30823, 12714, 8487, 22790, 20603, 7029, 3591, 33824, 33434, 22513, 27592, 5663, 25150, 2441, 19737, 30242, 37631, 21305, 14644, 22623, 35660, 24517, 33287, 24372, 24734, 17710, 19690]
   [pre] relift round 0: 88 bad atoms, 86 fixed, t=4s
   [pre] relift round 1: 52 bad atoms, 50 fixed, t=6s
   [pre] relift round 2: 33 bad atoms, 31 fixed, t=8s
   [pre] relift round 3: 31 bad atoms, 29 fixed, t=9s
   [pre] relift round 4: 30 bad atoms, 28 fixed, t=11s
   [pre] relift round 5: 29 bad atoms, 27 fixed, t=12s
   [pre] relift round 6: 30 bad atoms, 28 fixed, t=13s
   [pre] relift round 7: 29 bad atoms, 26 fixed, t=14s
   [pre] relift round 8: 30 bad atoms, 28 fixed, t=15s
   [pre] relift round 9: 30 bad atoms, 28 fixed, t=17s
   [pre] relift round 10: 29 bad atoms, 27 fixed, t=18s
   [pre] relift round 11: 30 bad atoms, 28 fixed, t=19s
   [pre] relift round 12: 29 bad atoms, 27 fixed, t=19s
   [pre] relift round 13: 30 bad atoms, 28 fixed, t=20s
   [pre] relift round 14: 29 bad atoms, 27 fixed, t=22s
   [pre] relift round 15: 29 bad atoms, 27 fixed, t=23s
   [pre] relift round 16: 29 bad atoms, 26 fixed, t=24s
   [pre] relift round 17: 29 bad atoms, 27 fixed, t=25s
   [pre] relift round 18: 29 bad atoms, 27 fixed, t=27s
   [pre] relift round 19: 28 bad atoms, 26 fixed, t=28s
   [pre] relift round 20: 29 bad atoms, 27 fixed, t=29s
   [pre] relift round 21: 29 bad atoms, 27 fixed, t=30s
   [pre] relift round 22: 29 bad atoms, 27 fixed, t=32s
   [pre] relift round 23: 28 bad atoms, 26 fixed, t=33s
   [pre] relift round 24: 28 bad atoms, 26 fixed, t=34s
   [pre] relift round 25: 28 bad atoms, 26 fixed, t=36s
   [pre] relift round 26: 28 bad atoms, 25 fixed, t=37s
   [pre] relift round 27: 29 bad atoms, 27 fixed, t=38s
   [pre] relift round 28: 29 bad atoms, 27 fixed, t=39s
   [pre] relift round 29: 28 bad atoms, 26 fixed, t=41s
   [pre] relift round 30: 29 bad atoms, 27 fixed, t=43s
   [pre] relift round 31: 29 bad atoms, 27 fixed, t=44s
   [pre] relift round 32: 28 bad atoms, 26 fixed, t=46s
   [pre] relift round 33: 29 bad atoms, 27 fixed, t=47s
   [pre] relift round 34: 29 bad atoms, 27 fixed, t=49s
   [pre] relift round 35: 29 bad atoms, 27 fixed, t=50s
   [pre] relift round 36: 29 bad atoms, 27 fixed, t=52s
   [pre] relift round 37: 29 bad atoms, 27 fixed, t=53s
   [pre] relift round 38: 29 bad atoms, 26 fixed, t=55s
   [pre] relift round 39: 29 bad atoms, 27 fixed, t=57s
   [pre] relift round 40: 29 bad atoms, 27 fixed, t=58s
   [pre] relift round 41: 29 bad atoms, 27 fixed, t=60s
   [pre] relift round 42: 29 bad atoms, 27 fixed, t=61s
   [pre] relift round 43: 29 bad atoms, 27 fixed, t=63s
   [pre] relift round 44: 29 bad atoms, 27 fixed, t=65s
   [pre] relift round 45: 28 bad atoms, 26 fixed, t=66s
   [pre] relift round 46: 29 bad atoms, 27 fixed, t=68s
   [pre] relift round 47: 29 bad atoms, 27 fixed, t=70s
   [pre] relift round 48: 28 bad atoms, 26 fixed, t=71s
   [pre] relift round 49: 29 bad atoms, 26 fixed, t=72s
   [pre] relift round 50: 29 bad atoms, 27 fixed, t=72s
   [pre] relift round 51: 29 bad atoms, 27 fixed, t=73s
   [pre] relift round 52: 28 bad atoms, 26 fixed, t=75s
   [pre] relift round 53: 29 bad atoms, 27 fixed, t=76s
   [pre] relift round 54: 29 bad atoms, 27 fixed, t=78s
   [pre] relift round 55: 29 bad atoms, 27 fixed, t=80s
   [pre] relift round 56: 29 bad atoms, 27 fixed, t=81s
   [pre] relift round 57: 28 bad atoms, 26 fixed, t=83s
   [pre] relift round 58: 29 bad atoms, 27 fixed, t=85s
   [pre] relift round 59: 28 bad atoms, 25 fixed, t=86s
   [pre] fixpoint done in 86s (60 rounds)
outer 0: global nonzero 30, violated c-conditions 29, nonzero handle-less 1
   single-wire pass over 133 wires (max atoms/wire 2)
