idx	deg	nvars	litbits	nmon	coefbits
0	4	6	6	73	13
1	4	9	5	45	10
2	2	10	24	7	43
3	2	7	12	8	16
4	1	26	28	26	34
5	2	4	14	6	18
6	2	17	26	17	54
7	4	44	24	528	57
8	4	21	6	231	12
9	8	17	6	14125	27
10	2	20	15	18	21
11	2	20	18	28	24
12	2	7	16	9	34
13	2	6	15	13	20
14	2	29	14	35	20
15	4	8	6	145	12
16	2	34	28	39	56
17	4	28	27	465	40
18	2	17	23	11	49
19	2	20	14	26	21
20	4	6	27	15	39
21	2	18	26	17	32
22	1	18	20	18	25
23	2	11	24	10	34
24	2	57	27	41	56
25	2	6	6	13	9
26	2	31	28	22	57
27	4	4	14	21	36
28	2	27	23	32	31
29	4	40	296	527	599
30	2	8	23	7	24
31	2	36	23	40	31
32	2	30	24	33	34
33	8	30	24	-1	-1
34	2	15	5	12	7
35	1	20	20	20	26
36	2	42	24	31	43
37	2	5	6	10	6
38	2	29	26	35	32
39	4	5	6	42	15
40	2	31	24	36	46
41	2	21	24	15	42
42	2	7	5	9	11
43	1	12	19	12	25
44	4	7	16	45	40
45	2	25	16	31	22
46	2	19	24	23	32
47	4	55	24	820	75
48	2	17	16	22	21
49	2	26	6	27	6
50	4	14	6	188	13
51	1	6	28	6	31
52	2	9	28	9	33
53	2	10	27	19	33
54	2	33	24	23	29
55	2	23	24	27	43
56	4	4	296	10	649
57	2	16	16	21	21
58	4	28	24	523	75
59	2	11	16	21	22
60	2	20	5	27	11
61	2	13	24	13	43
62	1	22	6	22	9
63	8	12	24	330	110
64	4	22	24	136	72
65	2	19	16	26	37
66	2	5	27	7	32
67	2	19	16	25	23
68	2	19	24	19	34
69	2	54	24	39	47
70	1	9	24	9	29
71	2	34	24	39	43
72	4	24	24	136	58
73	2	17	27	12	54
74	2	32	296	25	303
75	2	23	20	30	41
76	2	17	26	21	32
77	4	29	6	731	13
78	8	41	296	-1	-1
79	2	23	6	26	7
80	4	43	24	496	63
81	1	14	6	14	6
82	2	29	28	34	55
83	4	31	6	848	13
84	4	18	295	105	626
85	8	51	296	-1	-1
86	2	15	296	11	305
87	2	16	6	16	11
88	2	28	6	34	9
89	2	5	16	10	22
90	2	4	16	5	32
91	4	33	24	276	56
92	4	17	6	274	13
93	2	16	24	11	43
94	2	51	24	35	45
95	4	9	6	181	13
96	1	21	18	22	24
97	2	26	6	34	6
98	2	18	16	23	21
99	2	20	16	210	30
100	1	11	6	12	6
101	2	21	24	15	41
102	4	19	16	253	28
103	8	46	24	-1	-1
104	4	21	23	231	71
105	2	23	24	23	46
106	4	21	6	348	12
107	2	27	27	29	55
108	8	9	6	4645	30
109	4	10	6	715	26
110	2	12	296	9	327
111	2	23	24	16	29
112	2	32	6	43	6
113	2	26	16	33	22
114	4	7	15	44	26
115	2	12	25	14	30
116	2	13	23	16	43
117	2	36	24	41	44
118	2	11	27	9	50
119	2	15	15	30	21
120	2	10	28	13	33
121	2	15	6	18	9
122	2	23	27	25	32
123	2	6	22	13	27
124	2	52	24	37	29
125	2	34	296	27	317
126	4	19	296	105	618
127	2	32	24	35	32
128	4	15	6	228	13
129	2	18	6	21	9
130	4	14	24	150	47
131	2	26	28	30	33
132	4	33	6	978	12
133	2	8	296	7	329
134	1	16	19	16	25
135	2	47	296	37	314
136	2	32	20	38	26
137	2	22	20	29	26
138	4	8	6	129	13
139	4	4	5	28	12
140	1	18	6	19	10
141	2	34	24	24	42
142	2	5	16	6	21
143	2	8	16	8	22
144	2	11	295	8	299
145	2	11	11	22	17
146	4	53	24	703	60
147	2	33	24	24	41
148	8	22	24	22126	111
149	2	34	28	38	57
150	2	13	23	9	28
151	2	6	6	13	9
152	4	26	27	460	39
153	4	12	6	55	12
154	4	29	296	275	602
155	4	4	6	41	14
156	4	11	20	105	60
157	2	16	28	21	34
158	1	22	6	22	7
159	4	21	6	231	12
160	2	9	6	18	7
161	4	9	24	55	56
162	2	19	16	24	21
163	2	11	20	23	25
164	1	17	15	18	21
165	1	8	5	8	5
166	2	25	24	28	29
167	4	16	6	205	12
168	2	32	6	43	7
169	2	12	6	25	11
170	2	26	6	30	11
171	2	11	23	9	48
172	2	16	23	18	33
173	2	21	26	24	54
174	4	18	16	300	43
175	4	9	6	181	14
176	4	11	6	243	15
177	2	20	16	22	22
178	2	14	6	13	10
179	1	16	19	14	24
180	4	31	6	696	12
181	2	30	24	31	46
182	4	20	24	190	57
183	2	4	5	9	6
184	2	6	5	5	6
185	4	25	16	561	43
186	2	19	15	25	20
187	2	29	19	36	25
188	8	19	6	22701	27
189	4	21	6	349	12
190	1	11	28	11	57
191	2	22	23	16	30
192	2	26	28	33	33
193	2	8	23	5	47
194	2	7	5	15	11
195	2	25	6	34	6
196	2	32	24	37	30
197	2	20	6	28	9
198	2	14	28	19	33
199	4	17	24	91	59
200	2	18	5	21	11
201	2	23	16	23	22
202	2	48	296	38	319
203	4	9	6	65	12
204	2	37	296	28	300
205	2	29	24	30	32
206	2	27	6	31	6
207	2	15	6	17	7
208	1	18	6	19	6
209	4	12	24	36	67
210	2	39	296	32	306
211	2	14	6	15	6
212	2	18	16	36	23
213	2	38	26	27	55
214	2	11	6	23	7
215	2	12	28	15	34
216	4	19	6	136	13
217	2	22	24	25	51
218	4	19	16	325	42
219	1	8	24	8	44
220	2	14	6	19	6
221	2	9	15	7	20
222	2	18	20	25	26
223	2	16	12	13	19
224	1	10	16	10	21
