quad 11: scanning 81 routings
  [0] ('0', '0', '0', '0'): sat=39009 core=20 noncore=4 S0=False T0=False *BEST* [2s]
  [2] ('0', '0', '0', 'C2'): sat=39011 core=20 noncore=2 S0=False T0=False *BEST* [4s]
  [5] ('0', '0', 'C1', 'C2'): sat=39012 core=20 noncore=1 S0=False T0=False *BEST* [8s]
  [14] ('0', 'C1', 'C1', 'C2'): sat=39013 core=20 noncore=0 S0=False T0=False *BEST* [20s]
  [41] ('C1', 'C1', 'C1', 'C2'): sat=39013 core=20 noncore=0
  [68] ('C2', 'C1', 'C1', 'C2'): sat=39013 core=20 noncore=0

TOP 12 routings for quad 11:
  ('C2', 'C1', 'C1', 'C2'): sat=39013 core=20 noncore=0 S0=False T0=False
  ('C1', 'C1', 'C1', 'C2'): sat=39013 core=20 noncore=0 S0=False T0=False
  ('0', 'C1', 'C1', 'C2'): sat=39013 core=20 noncore=0 S0=False T0=False
  ('C2', 'C2', 'C1', 'C2'): sat=39012 core=20 noncore=1 S0=False T0=False
  ('C2', '0', 'C1', 'C2'): sat=39012 core=20 noncore=1 S0=False T0=False
  ('C1', 'C2', 'C1', 'C2'): sat=39012 core=20 noncore=1 S0=False T0=False
  ('C1', '0', 'C1', 'C2'): sat=39012 core=20 noncore=1 S0=False T0=False
  ('0', 'C2', 'C1', 'C2'): sat=39012 core=20 noncore=1 S0=False T0=False
  ('0', '0', 'C1', 'C2'): sat=39012 core=20 noncore=1 S0=False T0=False
  ('C2', 'C2', 'C2', 'C2'): sat=39011 core=20 noncore=2 S0=False T0=False
  ('C2', '0', '0', 'C2'): sat=39011 core=20 noncore=2 S0=False T0=False
  ('C1', 'C2', 'C2', 'C2'): sat=39011 core=20 noncore=2 S0=False T0=False
BEST: (39013, ('0', 'C1', 'C1', 'C2'))  [108s]
