BASE ninc=0 nzc=0 res=[(19297, '4802094186'), (19299, '1113801313'), (30984, '2971537017'), (36185, '9031418752'), (40812, '4991367367')]
  0/1156 4s  (x47: ninc=0 nzc=0 res=9)
  25/1156 110s  (x667: ninc=0 nzc=0 res=5)
  50/1156 215s  (x1530: ninc=0 nzc=0 res=10)
  75/1156 312s  (x2169: ninc=0 nzc=0 res=5)
  100/1156 461s  (x2876: ninc=0 nzc=0 res=5)
  125/1156 680s  (x3532: ninc=0 nzc=0 res=5)
  150/1156 872s  (x4207: ninc=0 nzc=0 res=5)
  175/1156 1126s  (x4830: ninc=0 nzc=0 res=5)
  200/1156 1547s  (x5755: ninc=0 nzc=0 res=5)
  225/1156 1785s  (x6438: ninc=0 nzc=0 res=5)
  250/1156 2011s  (x7253: ninc=0 nzc=0 res=5)
  275/1156 2306s  (x8417: ninc=0 nzc=0 res=5)
  300/1156 2596s  (x9219: ninc=0 nzc=0 res=5)
  325/1156 2979s  (x10099: ninc=0 nzc=0 res=5)
  350/1156 3262s  (x10880: ninc=0 nzc=0 res=5)
  375/1156 3551s  (x11813: ninc=0 nzc=0 res=5)
  400/1156 3804s  (x12506: ninc=0 nzc=0 res=5)
  425/1156 4060s  (x13610: ninc=0 nzc=0 res=5)
  450/1156 4325s  (x14742: ninc=0 nzc=0 res=5)
  475/1156 4523s  (x15576: ninc=0 nzc=0 res=5)
  500/1156 4748s  (x16608: ninc=0 nzc=0 res=5)
