d00 best=(33 fail,7 nz) score=39000 cands=11
d01 best=(24 fail,5 nz) score=39009 cands=803
d02 best=(24 fail,7 nz) score=39009 cands=383
d03 best=(21 fail,5 nz) score=39012 cands=5814
d04 best=(21 fail,7 nz) score=39012 cands=386
d05 best=(21 fail,5 nz) score=39012 cands=2231
d06 best=(21 fail,7 nz) score=39012 cands=426
d07 best=(21 fail,5 nz) score=39012 cands=2604
d08 best=(21 fail,7 nz) score=39012 cands=430
d09 best=(21 fail,5 nz) score=39012 cands=2604
d10 best=(21 fail,7 nz) score=39012 cands=430
d11 best=(21 fail,5 nz) score=39012 cands=2604
d12 best=(21 fail,7 nz) score=39012 cands=430
d13 best=(21 fail,5 nz) score=39012 cands=2604
d14 best=(21 fail,7 nz) score=39012 cands=430
d15 best=(21 fail,5 nz) score=39012 cands=2604
d16 best=(21 fail,7 nz) score=39012 cands=430
d17 best=(21 fail,5 nz) score=39012 cands=2604
d18 best=(21 fail,7 nz) score=39012 cands=430
d19 best=(21 fail,5 nz) score=39012 cands=2604
d20 best=(21 fail,7 nz) score=39012 cands=430
