  a688    nz=4  |R|=15  |S|=6   deficit=9   knobs=2   rank=2   zeroable=0   failing=15  score=39018  3s
  a1618   nz=4  |R|=22  |S|=11  deficit=11  knobs=5   rank=5   zeroable=0   failing=22  score=39011  26s
  a23824  nz=4  |R|=15  |S|=6   deficit=9   knobs=2   rank=2   zeroable=0   failing=15  score=39018  30s
  a23826  nz=4  |R|=15  |S|=6   deficit=9   knobs=2   rank=2   zeroable=0   failing=15  score=39018  35s
  a35267  nz=5  |R|=26  |S|=7   deficit=19  knobs=3   rank=3   zeroable=0   failing=26  score=39007  39s
  a21853  nz=5  |R|=30  |S|=8   deficit=22  knobs=3   rank=3   zeroable=0   failing=30  score=39003  43s
  a14061  nz=4  |R|=15  |S|=6   deficit=9   knobs=2   rank=2   zeroable=0   failing=15  score=39018  47s
  a14063  nz=4  |R|=15  |S|=6   deficit=9   knobs=2   rank=2   zeroable=0   failing=15  score=39018  50s
  a12599  nz=4  |R|=15  |S|=6   deficit=9   knobs=2   rank=2   zeroable=0   failing=15  score=39018  54s
  a15100  nz=4  |R|=15  |S|=6   deficit=9   knobs=2   rank=2   zeroable=0   failing=15  score=39018  58s
  a37733  nz=5  |R|=30  |S|=7   deficit=23  knobs=3   rank=3   zeroable=0   failing=30  score=39003  62s
  a37735  nz=5  |R|=30  |S|=7   deficit=23  knobs=3   rank=3   zeroable=0   failing=30  score=39003  66s
  a9193   nz=4  |R|=15  |S|=6   deficit=9   knobs=2   rank=2   zeroable=0   failing=15  score=39018  70s
  a9195   nz=4  |R|=15  |S|=6   deficit=9   knobs=2   rank=2   zeroable=0   failing=15  score=39018  73s
  a6283   nz=5  |R|=28  |S|=11  deficit=17  knobs=3   rank=3   zeroable=0   failing=28  score=39005  76s
  a6285   nz=4  |R|=15  |S|=6   deficit=9   knobs=2   rank=2   zeroable=0   failing=15  score=39018  80s
  a31928  nz=4  |R|=15  |S|=6   deficit=9   knobs=2   rank=2   zeroable=0   failing=15  score=39018  84s
  a31930  nz=5  |R|=27  |S|=7   deficit=20  knobs=3   rank=3   zeroable=0   failing=27  score=39006  88s
  a26729  nz=5  |R|=28  |S|=12  deficit=16  knobs=8   rank=5   zeroable=13  failing=15  score=39018  116s
  a26731  nz=5  |R|=28  |S|=14  deficit=14  knobs=9   rank=6   zeroable=13  failing=15  score=39018  469s

=== PER-PLACEMENT TABLE (best first) ===
carrier      nz   |R|   |S|  deficit  knobs  rank zeroable  failing   score
a688          4    15     6        9      2     2        0       15   39018
a23824        4    15     6        9      2     2        0       15   39018
a23826        4    15     6        9      2     2        0       15   39018
a14061        4    15     6        9      2     2        0       15   39018
a14063        4    15     6        9      2     2        0       15   39018
a12599        4    15     6        9      2     2        0       15   39018
a15100        4    15     6        9      2     2        0       15   39018
a9193         4    15     6        9      2     2        0       15   39018
a9195         4    15     6        9      2     2        0       15   39018
a6285         4    15     6        9      2     2        0       15   39018
a31928        4    15     6        9      2     2        0       15   39018
a26729        5    28    12       16      8     5       13       15   39018
a26731        5    28    14       14      9     6       13       15   39018
a1618         4    22    11       11      5     5        0       22   39011
a35267        5    26     7       19      3     3        0       26   39007
a31930        5    27     7       20      3     3        0       27   39006
a6283         5    28    11       17      3     3        0       28   39005
a21853        5    30     8       22      3     3        0       30   39003
a37733        5    30     7       23      3     3        0       30   39003
a37735        5    30     7       23      3     3        0       30   39003

best placement in the cascade: 39018   deliverable: 39026
