branch (1,0) violated [731, 31571]
boolean knobs: 256
bits that MOVE a violated residue: 220
bits that are completely score-neutral on the constraint set: 0
bits that HEAL any violated constraint: 0

movers (bit, #broken, #healed):
   (47, 5, 0, True)
   (91, 6, 0, True)
   (112, 5, 0, True)
   (542, 5, 0, True)
   (853, 5, 0, True)
   (1203, 6, 0, True)
   (1357, 5, 0, True)
   (1413, 5, 0, True)
   (1438, 5, 0, True)
   (1502, 5, 0, True)
   (1544, 5, 0, True)
   (1571, 5, 0, True)
   (1685, 5, 0, True)
   (1695, 5, 0, True)
   (1746, 5, 0, True)
   (1931, 5, 0, True)
   (2055, 5, 0, True)
   (2081, 7, 0, True)
   (2143, 5, 0, True)
   (2229, 5, 0, True)
   (2441, 6, 0, True)
   (2460, 6, 0, True)
   (2527, 5, 0, True)
   (2779, 5, 0, True)
   (3106, 5, 0, True)
   (3216, 5, 0, True)
   (3320, 5, 0, True)
   (3414, 5, 0, True)
   (3420, 6, 0, True)
   (3545, 6, 0, True)
   (3591, 6, 0, True)
   (3707, 5, 0, True)
   (4279, 5, 0, True)
   (4362, 5, 0, True)
   (4381, 5, 0, True)
   (4701, 6, 0, True)
   (4940, 5, 0, True)
   (5090, 6, 0, True)
   (5148, 5, 0, True)
   (5584, 5, 0, True)
