=== A. the 16 detach states (the whole 2^65 lattice, by proof) ===
configuration                      |R|  knobs  lattice  rk_Q   gap_Q   rk_p   gap_p   OPT    fail  score 
D=[]                               13   76     15       8      1       4      1       5      8     39025 
D=[642]                            13   76     15       8      1       4      1       5      8     39025 
D=[28730]                          12   68     14       7      0       3      1       5      7     39026 
D=[642, 28730]                     12   68     14       7      0       3      1       5      7     39026 
D=[29854]                          13   76     15       8      1       4      1       5      8     39025 
D=[642, 29854]                     13   76     15       8      1       4      1       5      8     39025 
D=[28730, 29854]                   12   68     14       7      0       3      1       5      7     39026 
D=[642, 28730, 29854]              12   68     14       7      0       3      1       5      7     39026 
D=[31864]                          13   76     15       8      1       4      1       5      8     39025 
D=[642, 31864]                     13   76     15       8      1       4      1       5      8     39025 
D=[28730, 31864]                   12   68     14       7      0       3      1       5      7     39026 
D=[642, 28730, 31864]              12   68     14       7      0       3      1       5      7     39026 
