m8_bv_pin          sat         119.1s  -  clauses/constraints=415 bytes=29982
m8_bv_free         timeout     300.2s  -  clauses/constraints=408 bytes=29627
m8_int_pin         timeout     300.2s  -  clauses/constraints=604 bytes=28846
m8_int_free        timeout     300.4s  -  clauses/constraints=597 bytes=28538
m10_bv_pin         timeout     300.3s  -  clauses/constraints=533 bytes=38161
m10_bv_free        timeout     301.0s  -  clauses/constraints=524 bytes=37698
m10_int_pin        timeout     300.3s  -  clauses/constraints=776 bytes=37137
m10_int_free       timeout     300.4s  -  clauses/constraints=767 bytes=36741
m12_bv_pin         timeout     300.3s  -  clauses/constraints=651 bytes=47563
m12_bv_free        timeout     301.0s  -  clauses/constraints=640 bytes=46990
m12_int_pin        timeout     300.4s  -  clauses/constraints=948 bytes=46134
m12_int_free       timeout     300.3s  -  clauses/constraints=937 bytes=45648
m16_bv_pin         timeout     300.9s  -  clauses/constraints=887 bytes=66298
