2081,24601             score 39005  nz 6  ok False  14s
47                     score 39013  nz 3  ok False  30s
91                     score 39013  nz 3  ok False  33s
112                    score 39013  nz 3  ok False  27s
438                    score 39013  nz 3  ok False  37s
490                    score 39013  nz 3  ok False  30s
542                    score 39013  nz 3  ok False  18s
853                    score 39013  nz 3  ok False  24s
1203                   score 39013  nz 3  ok False  26s
1357                   score 39013  nz 3  ok False  37s
1413                   score 39013  nz 3  ok False  34s
1438                   score 39013  nz 3  ok False  40s
1502                   score 39013  nz 3  ok False  38s
1530                   score 39013  nz 3  ok False  37s
