alignment bad (pre-repair): 4
atoms with exactly 1 handle: 3681 of 9032
pid 24794 ; 5351 handle-less atoms of 9032
|S|    seed     globalNZ   handleless c>1 viol    which handle-less
1      7        2          0          2           []
1      101      2          0          2           []
1      202      2          0          2           []
1      303      2          0          2           []
2      7        6          0          3           []
2      101      6          0          3           []
2      202      6          0          3           []
2      303      2          0          2           []
4      7        10         0          5           []
4      101      10         0          5           []
4      202      10         0          4           []
4      303      10         0          5           []
8      7        18         0          7           []
8      101      14         0          7           []
8      202      14         0          6           []
8      303      14         0          6           []
12     7        22         0          8           []
12     101      14         0          7           []
12     202      19         0          7           []
12     303      30         0          11          []
16     7        26         0          10          []
16     101      23         0          8           []
16     202      27         0          10          []
16     303      42         0          14          []
17     7        26         0          10          []
17     101      23         0          8           []
17     202      27         0          10          []
17     303      42         0          14          []
20     7        42         0          15          []
20     101      35         0          11          []
20     202      36         0          12          []
20     303      47         0          16          []
24     7        36         2          12          ['(x23514-(x6677*x23504))', '(x3178-(x13720*x21170))']
24     101      42         0          16          []
24     202      40         2          12          ['(x3178-(x13720*x21170))', '(x23642-(x8173*x10422))']
24     303      42         0          15          []
32     7        48         2          16          ['(x23514-(x6677*x23504))', '(x3178-(x13720*x21170))']
32     101      67         1          24          ['(x23514-(x6677*x23504))']
32     202      48         2          16          ['(x3178-(x13720*x21170))', '(x23642-(x8173*x10422))']
32     303      54         0          18          []
40     7        48         2          15          ['(x23514-(x6677*x23504))', '(x3178-(x13720*x21170))']
40     101      83         1          29          ['(x23514-(x6677*x23504))']
40     202      56         2          18          ['(x3178-(x13720*x21170))', '(x23642-(x8173*x10422))']
40     303      62         0          20          []
48     7        72         2          24          ['(x23514-(x6677*x23504))', '(x3178-(x13720*x21170))']
48     101      87         1          29          ['(x23514-(x6677*x23504))']
48     202      86         3          27          ['(x3178-(x13720*x21170))', '(x11231-(x8233*x21728))', '(x23642-(x8173*x10422))']
48     303      80         1          24          ['(x3178-(x13720*x21170))']
64     7        97         3          31          ['(x23514-(x6677*x23504))', '(x12827-(x31566*x24511))', '(x3178-(x13720*x21170))']
64     101      116        1          37          ['(x23514-(x6677*x23504))']
64     202      110        3          33          ['(x3178-(x13720*x21170))', '(x11231-(x8233*x21728))', '(x23642-(x8173*x10422))']
64     303      116        1          35          ['(x3178-(x13720*x21170))']
96     7        177        3          54          ['(x23514-(x6677*x23504))', '(x12827-(x31566*x24511))', '(x3178-(x13720*x21170))']
96     101      166        2          54          ['(x23514-(x6677*x23504))', '(x32693-(x23503*x15035))']
96     202      147        4          44          ['(x12827-(x31566*x24511))', '(x3178-(x13720*x21170))', '(x11231-(x8233*x21728))', '(x23642-(x8173*x10422))']
96     303      176        1          50          ['(x3178-(x13720*x21170))']
128    7        220        3          67          ['(x23514-(x6677*x23504))', '(x12827-(x31566*x24511))', '(x3178-(x13720*x21170))']
128    101      250        3          78          ['(x23514-(x6677*x23504))', '(x32693-(x23503*x15035))', '(x11231-(x8233*x21728))']
128    202      214        4          68          ['(x12827-(x31566*x24511))', '(x3178-(x13720*x21170))', '(x11231-(x8233*x21728))', '(x23642-(x8173*x10422))']
128    303      257        2          75          ['(x3178-(x13720*x21170))', '(x23642-(x8173*x10422))']
