DONE rot=0 range=[5,10) n=41107956 zero=0 44.9s
DONE rot=0 range=[17,25) n=40623462 zero=0 45.7s
DONE rot=0 range=[25,38) n=43591977 zero=0 46.6s
DONE rot=0 range=[38,128) n=43949268 zero=0 50.1s
DONE rot=0 range=[10,17) n=46798731 zero=0 50.1s
DONE rot=0 range=[0,5) n=48495006 zero=0 51.1s
DONE rot=1 range=[17,25) n=40623462 zero=0 46.3s
DONE rot=1 range=[5,10) n=41107956 zero=0 47.4s
DONE rot=1 range=[25,38) n=43591977 zero=0 49.8s
DONE rot=1 range=[0,5) n=48495006 zero=0 50.4s
DONE rot=1 range=[38,128) n=43949268 zero=0 52.8s
DONE rot=1 range=[10,17) n=46798731 zero=0 53.9s
DONE rot=2 range=[5,10) n=41107956 zero=0 37.6s
DONE rot=2 range=[25,38) n=43591977 zero=0 39.1s
DONE rot=2 range=[17,25) n=40623462 zero=0 39.6s
DONE rot=2 range=[38,128) n=43949268 zero=0 40.9s
DONE rot=2 range=[10,17) n=46798731 zero=0 42.2s
DONE rot=2 range=[0,5) n=48495006 zero=0 43.1s
DONE rot=3 range=[17,25) n=40623462 zero=0 37.8s
DONE rot=3 range=[5,10) n=41107956 zero=0 41.3s
DONE rot=3 range=[38,128) n=43949268 zero=0 44.0s
DONE rot=3 range=[10,17) n=46798731 zero=0 44.3s
DONE rot=3 range=[25,38) n=43591977 zero=0 44.6s
DONE rot=3 range=[0,5) n=48495006 zero=0 45.6s
