one modular multiplication, mode=wallace, reduction=naf
    s   schoolbook    karatsuba  leaf   ratio        toom3  leaf   ratio
    8          235          419     4   1.783          835     4   3.553
   12          513          621     8   1.211        1,272     8   2.480
   16          873          969    12   1.110        1,768    12   2.025
   24        1,893        1,881    16   0.994        2,852    12   1.507
   32        3,235        3,019    24   0.933        4,206    16   1.300
   48        7,335        6,347    16   0.865        7,550    24   1.029
   64       12,855       10,171    24   0.791       11,672    32   0.908
   96       28,131       19,696    16   0.700       22,222    64   0.790
  128       50,297       31,880    24   0.634       37,128    64   0.738
  192      112,705       62,632    16   0.556       69,375    32   0.616
  256      199,931       99,298    24   0.497      107,641    64   0.538
