init best 22 (43s)
  gen 111: NEW BEST 4 bits=[] (62s)
  gen 500: best 4, pop-min 4 (126s)
  gen 1000: best 4, pop-min 4 (208s)
  gen 1500: best 4, pop-min 4 (290s)
  gen 2000: best 4, pop-min 4 (375s)
  gen 2500: best 4, pop-min 4 (461s)
  gen 3000: best 4, pop-min 4 (549s)
  gen 3500: best 4, pop-min 4 (636s)
  gen 4000: best 4, pop-min 4 (720s)
  gen 4500: best 4, pop-min 4 (802s)
  gen 5000: best 4, pop-min 4 (884s)
  gen 5500: best 4, pop-min 4 (966s)
  gen 6000: best 4, pop-min 4 (1046s)
  gen 6500: best 4, pop-min 4 (1128s)
  gen 7000: best 4, pop-min 4 (1210s)
  gen 7500: best 4, pop-min 4 (1290s)
  gen 8000: best 4, pop-min 4 (1373s)
  gen 8500: best 4, pop-min 4 (1454s)
  gen 9000: best 4, pop-min 4 (1535s)
  gen 9500: best 4, pop-min 4 (1615s)
  gen 10000: best 4, pop-min 4 (1696s)
  gen 10500: best 4, pop-min 4 (1778s)
  gen 11000: best 4, pop-min 4 (1860s)
  gen 11500: best 4, pop-min 4 (1940s)
  gen 12000: best 4, pop-min 4 (2021s)
  gen 12500: best 4, pop-min 4 (2102s)
  gen 13000: best 4, pop-min 4 (2185s)
  gen 13500: best 4, pop-min 4 (2267s)
  gen 14000: best 4, pop-min 4 (2348s)
  gen 14500: best 4, pop-min 4 (2429s)
  gen 15000: best 4, pop-min 4 (2510s)
  gen 15500: best 4, pop-min 4 (2591s)
